sim_id,CoxPH_HR,CoxPH_beta_S,CoxPH_beta_GS,CoxPH_LL,CoxPH_AIC,CoxPH_BIC,CoxPH_nparams,Markov_RR,Markov_risk_never,Markov_risk_always,Markov_beta_S,Markov_beta_GS,Markov_LL,Markov_AIC,Markov_BIC,Markov_nparams,HMM_RR,HMM_risk_never,HMM_risk_always,HMM_beta_S,HMM_beta_GS,HMM_beta_Z,HMM_LL,HMM_AIC,HMM_BIC,HMM_nparams
46,1.2003341503527292,0.1825999766588211,0.25819915533065796,-10998.386611938477,22050.773223876953,22264.167387795427,27,4.659697791503548,0.056414805352687836,0.2628759443759918,0.17876455187797546,0.256852388381958,-11004.09506225586,22062.19012451172,22275.584288430193,27,5.233925572375922,0.05618908628821373,0.29408949613571167,-0.15929560363292694,0.4797472655773163,1.3792948722839355,-10916.650390625,21887.30078125,22100.694945168474,27
47,1.1662598314697024,0.15380190312862396,0.2675274908542633,-11120.649353027344,22295.298706054688,22508.69286997316,27,5.5885666721263565,0.05377849563956261,0.30054470896720886,0.1304442137479782,0.2662179172039032,-11153.697784423828,22361.395568847656,22574.78973276613,27,6.006934322488085,0.05390827730298042,0.323823481798172,-0.18340641260147095,0.47866320610046387,1.5151077508926392,-11027.7080078125,22109.416015625,22322.810179543474,27
48,1.2113029327838283,0.19169658422470093,0.27796509861946106,-10802.612579345703,21659.225158691406,21872.61932260988,27,4.6026020447648985,0.053594689816236496,0.2466750293970108,0.2000894993543625,0.28244468569755554,-10808.294952392578,21670.589904785156,21883.98406870363,27,5.967812004547116,0.05323806777596474,0.31771478056907654,-0.19732347130775452,0.4902423322200775,1.5082706212997437,-10711.80859375,21477.6171875,21691.011351418474,27
49,1.1794718972085054,0.16506679356098175,0.3983931541442871,-11082.579864501953,22219.159729003906,22432.55389292238,27,3.9913623708536505,0.05779929831624031,0.23069794476032257,0.1725158542394638,0.4025820195674896,-11083.657608032227,22221.315216064453,22434.709379982927,27,5.504375351103296,0.054759375751018524,0.30141615867614746,-0.15948747098445892,0.4977702796459198,1.4206993579864502,-10976.4189453125,22006.837890625,22220.232054543474,27
50,1.216609074572004,0.19606754183769226,0.2511008679866791,-10822.004791259766,21698.00958251953,21911.403746438005,27,4.689074963955071,0.056238237768411636,0.263705313205719,0.1656063199043274,0.2564278244972229,-10850.788024902344,21755.576049804688,21968.97021372316,27,4.979992562751468,0.05693872645497322,0.28355443477630615,-0.17669764161109924,0.44506677985191345,1.3502601385116577,-10748.369140625,21550.73828125,21764.132445168474,27
51,1.1312979938561472,0.12336564064025879,0.29006427526474,-10981.273376464844,22016.546752929688,22229.94091684816,27,3.6737610659158517,0.059525273740291595,0.21868163347244263,0.14299926161766052,0.30077365040779114,-10987.77767944336,22029.55535888672,22242.949522805193,27,5.20694308447744,0.05734026059508324,0.2985674738883972,-0.2203395962715149,0.44774365425109863,1.429384469985962,-10923.166015625,21900.33203125,22113.726195168474,27
52,1.277145304660658,0.24462735652923584,0.2932826280593872,-11048.929397583008,22151.858795166016,22365.25295908449,27,3.9101970603496308,0.0586957149207592,0.2295118123292923,0.24041518568992615,0.2975437641143799,-11061.65592956543,22177.31185913086,22390.706023049333,27,5.954414418181,0.05486948415637016,0.3267156481742859,-0.13159982860088348,0.4480515718460083,1.4796316623687744,-10989.23828125,22032.4765625,22245.870726418474,27
53,1.1012393718449445,0.09643624722957611,0.3279656767845154,-11135.246185302734,22324.49237060547,22537.886534523943,27,4.047705171239328,0.057289838790893555,0.23189237713813782,0.06754132360219955,0.26975780725479126,-11138.066650390625,22330.13330078125,22543.527464699724,27,5.793221176323135,0.05492764711380005,0.3182080090045929,-0.28256624937057495,0.4817679822444916,1.5646634101867676,-11018.736328125,22091.47265625,22304.866820168474,27
54,1.305969906300512,0.2669459879398346,0.23938003182411194,-10867.670989990234,21789.34197998047,22002.736143898943,27,4.707481644580578,0.054091859608888626,0.2546364367008209,0.2725326716899872,0.23780971765518188,-10864.897979736328,21783.795959472656,21997.19012339113,27,5.7252842221426175,0.05444301664829254,0.3117017447948456,-0.11832533031702042,0.40569964051246643,1.4603281021118164,-10795.908203125,21645.81640625,21859.210570168474,27
55,1.1442538501174027,0.1347527652978897,0.3359067440032959,-10861.18667602539,21776.37335205078,21989.767515969255,27,5.172262674536538,0.05362965539097786,0.2773866653442383,0.11143520474433899,0.32498714327812195,-10879.178588867188,21812.357177734375,22025.75134165285,27,5.318097849380187,0.05540431663393974,0.2946455776691437,-0.20309121906757355,0.5078219771385193,1.4180179834365845,-10789.0625,21632.125,21845.519163918474,27
56,1.3706317909236367,0.31527179479599,0.2558079659938812,-11279.004959106445,22612.00991821289,22825.404082131365,27,5.256459706181899,0.055093903094530106,0.28959888219833374,0.30175837874412537,0.27749836444854736,-11306.976150512695,22667.95230102539,22881.346464943865,27,5.884137423237673,0.0550721138715744,0.3240518867969513,-0.07317802309989929,0.4749903976917267,1.4153581857681274,-11145.9638671875,22345.927734375,22559.321898293474,27
