sim_id,Full_Model_LL,Full_Model_AIC,Full_Model_BIC,Full_Model_nparams,Full_Model_beta_GS,No_Interaction_LL,No_Interaction_AIC,No_Interaction_BIC,No_Interaction_nparams,No_PackYears_LL,No_PackYears_AIC,No_PackYears_BIC,No_PackYears_nparams,No_PackYears_beta_GS,LRT_No_Interaction_chi2,LRT_No_Interaction_pvalue,LRT_No_PackYears_chi2,LRT_No_PackYears_pvalue
100,-10882.0263671875,21818.052734375,22031.446898293474,27,0.5380129218101501,-10886.4580078125,21820.916015625,22010.599716885867,24,-10913.8037109375,21877.607421875,22075.194610688402,25,0.5612326264381409,8.86328125,0.03116496257956325,63.5546875,1.587618925213974e-14
101,-11174.375,22402.75,22616.144163918474,27,0.38725605607032776,-11186.7529296875,22421.505859375,22611.189560635867,24,-11216.009765625,22482.01953125,22679.606720063402,25,0.40571722388267517,24.755859375,1.7365942535096934e-05,83.26953125,0.0
102,-10786.8232421875,21627.646484375,21841.040648293474,27,0.4802338480949402,-10788.2509765625,21624.501953125,21814.185654385867,24,-10843.0595703125,21736.119140625,21933.706329438402,25,0.4956076741218567,2.85546875,0.41444998400778854,112.47265625,0.0
103,-10921.99609375,21897.9921875,22111.386351418474,27,0.4970896542072296,-10930.880859375,21909.76171875,22099.445420010867,24,-10980.0849609375,22010.169921875,22207.757110688402,25,0.5253908038139343,17.76953125,0.0004907064346582057,116.177734375,0.0
104,-11145.22265625,22344.4453125,22557.839476418474,27,0.5145826935768127,-11153.9365234375,22355.873046875,22545.556748135867,24,-11175.009765625,22400.01953125,22597.606720063402,25,0.5382563471794128,17.427734375,0.0005770817586875365,59.57421875,1.1579626146840383e-13
105,-10994.5693359375,22043.138671875,22256.532835793474,27,0.44235774874687195,-11001.91796875,22051.8359375,22241.519638760867,24,-11009.03515625,22068.0703125,22265.657501313402,25,0.45902615785598755,14.697265625,0.0020945129185380162,28.931640625,5.218840957166293e-07
106,-10735.2783203125,21524.556640625,21737.950804543474,27,0.4357587397098541,-10746.0693359375,21540.138671875,21729.822373135867,24,-10828.6904296875,21707.380859375,21904.968048188402,25,0.4704633057117462,21.58203125,7.968716948958399e-05,186.82421875,0.0
107,-10750.853515625,21555.70703125,21769.101195168474,27,0.5295721888542175,-10774.7451171875,21597.490234375,21787.173935635867,24,-10806.0302734375,21662.060546875,21859.647735688402,25,0.5610415935516357,47.783203125,2.368134577324099e-10,110.353515625,0.0
108,-11088.859375,22231.71875,22445.112913918474,27,0.4570896625518799,-11099.134765625,22246.26953125,22435.953232510867,24,-11118.7578125,22287.515625,22485.102813813402,25,0.4951637089252472,20.55078125,0.00013049045040314233,59.796875,1.035838081975271e-13
109,-10571.2939453125,21196.587890625,21409.982054543474,27,0.48965802788734436,-10564.0322265625,21176.064453125,21365.748154385867,24,-10615.19921875,21280.3984375,21477.985626313402,25,0.5206559300422668,0.0,1.0,87.810546875,0.0
